Sum of transaction_id,transaction_time,transaction_qty,Sum of unit_price,Sum of Total_bill,Year,Month,Day,Sum of product_id,store_location,Sum of store_id,Size,product_type,product_detail,product_category,Month Name,Sum of Month,Sum of Hour,Sum of Day of Week,Day Name
1653,1899-12-30 18:54:16,1,2,2,2023,January,3,48,Hell's Kitchen,8,Regular,Brewed Black tea,English Breakfast,Tea,January,1,18,2,Tuesday
1654,1899-12-30 18:56:00,1,4,4,2023,January,3,39,Astoria,3,Regular,Barista Espresso,Latte,Coffee,January,1,18,2,Tuesday
1655,1899-12-30 18:57:29,1,3,3,2023,January,3,45,Astoria,3,Large,Brewed herbal tea,Peppermint,Tea,January,1,18,2,Tuesday
1656,1899-12-30 18:58:53,2,2,4,2023,January,3,25,Astoria,3,Small,Organic brewed coffee,Brazilian,Coffee,January,1,18,2,Tuesday
1657,1899-12-30 18:59:38,1,3,3,2023,January,3,51,Hell's Kitchen,8,Large,Brewed Black tea,Earl Grey,Tea,January,1,18,2,Tuesday
1658,1899-12-30 19:00:13,1,2,2,2023,January,3,34,Astoria,3,Small,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,19,2,Tuesday
1659,1899-12-30 19:05:02,1,3,3,2023,January,3,49,Hell's Kitchen,8,Large,Brewed Black tea,English Breakfast,Tea,January,1,19,2,Tuesday
1660,1899-12-30 19:06:16,2,3,6,2023,January,3,43,Hell's Kitchen,8,Large,Brewed herbal tea,Lemon Grass,Tea,January,1,19,2,Tuesday
1661,1899-12-30 19:07:24,1,2,2,2023,January,3,34,Astoria,3,Small,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,19,2,Tuesday
1662,1899-12-30 19:07:24,1,4,4,2023,January,3,78,Astoria,3,Not Defined,Scone,Scottish Cream Scone,Bakery,January,1,19,2,Tuesday
1663,1899-12-30 19:09:50,1,2,2,2023,January,3,50,Astoria,3,Regular,Brewed Black tea,Earl Grey,Tea,January,1,19,2,Tuesday
1664,1899-12-30 19:10:40,1,4,4,2023,January,3,60,Astoria,3,Regular,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,19,2,Tuesday
1665,1899-12-30 19:11:11,1,4,4,2023,January,3,55,Astoria,3,Large,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,19,2,Tuesday
1666,1899-12-30 19:11:11,1,4,4,2023,January,3,71,Astoria,3,Not Defined,Pastry,Chocolate Croissant,Bakery,January,1,19,2,Tuesday
1667,1899-12-30 19:14:00,1,2,2,2023,January,3,48,Astoria,3,Regular,Brewed Black tea,English Breakfast,Tea,January,1,19,2,Tuesday
1668,1899-12-30 19:15:30,1,3,3,2023,January,3,53,Astoria,3,Large,Brewed Chai tea,Traditional Blend Chai,Tea,January,1,19,2,Tuesday
1669,1899-12-30 19:19:16,1,2,2,2023,January,3,29,Astoria,3,Regular,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,19,2,Tuesday
1670,1899-12-30 19:19:20,1,3,3,2023,January,3,35,Hell's Kitchen,8,Regular,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,19,2,Tuesday
1671,1899-12-30 19:21:51,2,4,7,2023,January,3,27,Hell's Kitchen,8,Large,Organic brewed coffee,Brazilian,Coffee,January,1,19,2,Tuesday
1672,1899-12-30 19:22:36,2,2,5,2023,January,3,50,Hell's Kitchen,8,Regular,Brewed Black tea,Earl Grey,Tea,January,1,19,2,Tuesday
1673,1899-12-30 19:23:06,1,2,2,2023,January,3,54,Astoria,3,Regular,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,19,2,Tuesday
1674,1899-12-30 19:23:22,2,5,10,2023,January,3,61,Hell's Kitchen,8,Large,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,19,2,Tuesday
1675,1899-12-30 19:25:19,1,2,2,2023,January,3,34,Astoria,3,Small,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,19,2,Tuesday
1676,1899-12-30 19:27:38,2,2,5,2023,January,3,44,Hell's Kitchen,8,Regular,Brewed herbal tea,Peppermint,Tea,January,1,19,2,Tuesday
1677,1899-12-30 19:31:40,1,2,2,2023,January,3,46,Astoria,3,Regular,Brewed Green tea,Serenity Green Tea,Tea,January,1,19,2,Tuesday
1678,1899-12-30 19:31:40,1,4,4,2023,January,3,71,Astoria,3,Not Defined,Pastry,Chocolate Croissant,Bakery,January,1,19,2,Tuesday
1679,1899-12-30 19:32:22,1,2,2,2023,January,3,46,Hell's Kitchen,8,Regular,Brewed Green tea,Serenity Green Tea,Tea,January,1,19,2,Tuesday
1680,1899-12-30 19:33:51,2,3,6,2023,January,3,47,Astoria,3,Large,Brewed Green tea,Serenity Green Tea,Tea,January,1,19,2,Tuesday
1681,1899-12-30 19:35:27,1,3,3,2023,January,3,32,Astoria,3,Regular,Gourmet brewed coffee,Ethiopia,Coffee,January,1,19,2,Tuesday
1682,1899-12-30 19:35:54,1,5,5,2023,January,3,61,Hell's Kitchen,8,Large,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,19,2,Tuesday
1683,1899-12-30 19:37:44,1,2,2,2023,January,3,46,Astoria,3,Regular,Brewed Green tea,Serenity Green Tea,Tea,January,1,19,2,Tuesday
1684,1899-12-30 19:38:33,2,2,4,2023,January,3,22,Astoria,3,Small,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,19,2,Tuesday
1685,1899-12-30 19:39:21,2,5,10,2023,January,3,61,Astoria,3,Large,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,19,2,Tuesday
1686,1899-12-30 19:40:09,1,3,3,2023,January,3,57,Hell's Kitchen,8,Large,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,19,2,Tuesday
1687,1899-12-30 19:40:35,2,2,4,2023,January,3,25,Hell's Kitchen,8,Small,Organic brewed coffee,Brazilian,Coffee,January,1,19,2,Tuesday
1688,1899-12-30 19:49:19,2,2,5,2023,January,3,34,Hell's Kitchen,8,Small,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,19,2,Tuesday
1689,1899-12-30 19:49:19,1,4,4,2023,January,3,79,Hell's Kitchen,8,Not Defined,Scone,Jumbo Savory Scone,Bakery,January,1,19,2,Tuesday
1690,1899-12-30 19:50:56,1,5,5,2023,January,3,61,Astoria,3,Large,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,19,2,Tuesday
1691,1899-12-30 19:50:56,1,3,3,2023,January,3,72,Astoria,3,Not Defined,Scone,Ginger Scone,Bakery,January,1,19,2,Tuesday
1692,1899-12-30 19:52:04,2,4,8,2023,January,3,39,Astoria,3,Regular,Barista Espresso,Latte,Coffee,January,1,19,2,Tuesday
1693,1899-12-30 19:52:34,2,5,10,2023,January,3,61,Hell's Kitchen,8,Large,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,19,2,Tuesday
1694,1899-12-30 19:53:30,1,2,2,2023,January,3,29,Astoria,3,Regular,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,19,2,Tuesday
1695,1899-12-30 19:53:30,1,3,3,2023,January,3,72,Astoria,3,Not Defined,Scone,Ginger Scone,Bakery,January,1,19,2,Tuesday
1696,1899-12-30 19:54:02,1,3,3,2023,January,3,56,Hell's Kitchen,8,Regular,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,19,2,Tuesday
1697,1899-12-30 19:58:26,2,2,5,2023,January,3,52,Hell's Kitchen,8,Regular,Brewed Chai tea,Traditional Blend Chai,Tea,January,1,19,2,Tuesday
1698,1899-12-30 19:59:36,1,4,4,2023,January,3,33,Astoria,3,Large,Gourmet brewed coffee,Ethiopia,Coffee,January,1,19,2,Tuesday
1699,1899-12-30 07:09:20,1,2,2,2023,January,4,22,Lower Manhattan,5,Small,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,7,3,Wednesday
1700,1899-12-30 07:12:12,1,2,2,2023,January,4,42,Lower Manhattan,5,Regular,Brewed herbal tea,Lemon Grass,Tea,January,1,7,3,Wednesday
1701,1899-12-30 07:15:38,1,3,3,2023,January,4,30,Lower Manhattan,5,Large,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,7,3,Wednesday
1702,1899-12-30 07:30:48,1,2,2,2023,January,4,31,Lower Manhattan,5,Small,Gourmet brewed coffee,Ethiopia,Coffee,January,1,7,3,Wednesday
1703,1899-12-30 07:35:22,1,3,3,2023,January,4,45,Lower Manhattan,5,Large,Brewed herbal tea,Peppermint,Tea,January,1,7,3,Wednesday
1704,1899-12-30 07:35:22,1,4,4,2023,January,4,73,Lower Manhattan,5,Not Defined,Pastry,Almond Croissant,Bakery,January,1,7,3,Wednesday
1705,1899-12-30 07:40:18,2,4,7,2023,January,4,58,Lower Manhattan,5,Regular,Hot chocolate,Dark chocolate,Drinking Chocolate,January,1,7,3,Wednesday
1706,1899-12-30 07:40:18,1,3,3,2023,January,4,72,Lower Manhattan,5,Not Defined,Scone,Ginger Scone,Bakery,January,1,7,3,Wednesday
1707,1899-12-30 07:49:49,2,2,5,2023,January,4,23,Lower Manhattan,5,Regular,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,7,3,Wednesday
1708,1899-12-30 08:03:34,2,2,5,2023,January,4,29,Hell's Kitchen,8,Regular,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,8,3,Wednesday
1709,1899-12-30 08:03:34,1,3,3,2023,January,4,72,Hell's Kitchen,8,Not Defined,Scone,Ginger Scone,Bakery,January,1,8,3,Wednesday
1710,1899-12-30 08:06:13,1,5,5,2023,January,4,61,Hell's Kitchen,8,Large,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,8,3,Wednesday
1711,1899-12-30 08:06:13,1,3,3,2023,January,4,72,Hell's Kitchen,8,Not Defined,Scone,Ginger Scone,Bakery,January,1,8,3,Wednesday
1712,1899-12-30 08:09:05,2,2,4,2023,January,4,25,Hell's Kitchen,8,Small,Organic brewed coffee,Brazilian,Coffee,January,1,8,3,Wednesday
1713,1899-12-30 08:14:55,2,4,7,2023,January,4,58,Hell's Kitchen,8,Regular,Hot chocolate,Dark chocolate,Drinking Chocolate,January,1,8,3,Wednesday
1714,1899-12-30 08:16:20,1,2,2,2023,January,4,22,Lower Manhattan,5,Small,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,8,3,Wednesday
1715,1899-12-30 08:18:32,1,2,2,2023,January,4,46,Hell's Kitchen,8,Regular,Brewed Green tea,Serenity Green Tea,Tea,January,1,8,3,Wednesday
1716,1899-12-30 08:18:32,1,4,4,2023,January,4,79,Hell's Kitchen,8,Not Defined,Scone,Jumbo Savory Scone,Bakery,January,1,8,3,Wednesday
1717,1899-12-30 08:25:05,1,3,3,2023,January,4,32,Hell's Kitchen,8,Regular,Gourmet brewed coffee,Ethiopia,Coffee,January,1,8,3,Wednesday
1718,1899-12-30 08:28:18,2,2,5,2023,January,4,50,Lower Manhattan,5,Regular,Brewed Black tea,Earl Grey,Tea,January,1,8,3,Wednesday
1719,1899-12-30 08:29:19,1,4,4,2023,January,4,27,Lower Manhattan,5,Large,Organic brewed coffee,Brazilian,Coffee,January,1,8,3,Wednesday
1720,1899-12-30 08:30:16,2,4,7,2023,January,4,27,Hell's Kitchen,8,Large,Organic brewed coffee,Brazilian,Coffee,January,1,8,3,Wednesday
1721,1899-12-30 08:31:15,1,5,5,2023,January,4,61,Lower Manhattan,5,Large,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,8,3,Wednesday
1722,1899-12-30 08:32:18,2,2,5,2023,January,4,54,Lower Manhattan,5,Regular,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,8,3,Wednesday
1723,1899-12-30 08:32:18,1,4,4,2023,January,4,71,Lower Manhattan,5,Not Defined,Pastry,Chocolate Croissant,Bakery,January,1,8,3,Wednesday
1724,1899-12-30 08:37:10,1,2,2,2023,January,4,46,Hell's Kitchen,8,Regular,Brewed Green tea,Serenity Green Tea,Tea,January,1,8,3,Wednesday
1725,1899-12-30 08:37:14,1,4,4,2023,January,4,40,Hell's Kitchen,8,Not Defined,Barista Espresso,Cappuccino,Coffee,January,1,8,3,Wednesday
1726,1899-12-30 08:38:20,1,3,3,2023,January,4,47,Hell's Kitchen,8,Large,Brewed Green tea,Serenity Green Tea,Tea,January,1,8,3,Wednesday
1727,1899-12-30 08:42:10,2,2,4,2023,January,4,28,Lower Manhattan,5,Small,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,8,3,Wednesday
1728,1899-12-30 08:43:01,1,2,2,2023,January,4,44,Hell's Kitchen,8,Regular,Brewed herbal tea,Peppermint,Tea,January,1,8,3,Wednesday
1729,1899-12-30 08:43:10,2,2,5,2023,January,4,29,Hell's Kitchen,8,Regular,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,8,3,Wednesday
1730,1899-12-30 08:44:26,2,4,7,2023,January,4,27,Hell's Kitchen,8,Large,Organic brewed coffee,Brazilian,Coffee,January,1,8,3,Wednesday
1731,1899-12-30 08:45:29,2,2,5,2023,January,4,52,Hell's Kitchen,8,Regular,Brewed Chai tea,Traditional Blend Chai,Tea,January,1,8,3,Wednesday
1732,1899-12-30 08:53:36,1,4,4,2023,January,4,39,Lower Manhattan,5,Regular,Barista Espresso,Latte,Coffee,January,1,8,3,Wednesday
1733,1899-12-30 08:58:38,1,2,2,2023,January,4,22,Hell's Kitchen,8,Small,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,8,3,Wednesday
1734,1899-12-30 09:01:37,2,3,6,2023,January,4,35,Hell's Kitchen,8,Regular,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,9,3,Wednesday
1735,1899-12-30 09:04:45,2,2,5,2023,January,4,44,Lower Manhattan,5,Regular,Brewed herbal tea,Peppermint,Tea,January,1,9,3,Wednesday
1736,1899-12-30 09:06:58,2,4,8,2023,January,4,55,Lower Manhattan,5,Large,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,9,3,Wednesday
1737,1899-12-30 09:08:30,2,2,5,2023,January,4,42,Hell's Kitchen,8,Regular,Brewed herbal tea,Lemon Grass,Tea,January,1,9,3,Wednesday
1738,1899-12-30 09:11:25,1,2,2,2023,January,4,25,Lower Manhattan,5,Small,Organic brewed coffee,Brazilian,Coffee,January,1,9,3,Wednesday
1739,1899-12-30 09:16:58,1,2,2,2023,January,4,44,Lower Manhattan,5,Regular,Brewed herbal tea,Peppermint,Tea,January,1,9,3,Wednesday
1740,1899-12-30 09:16:58,1,4,4,2023,January,4,76,Lower Manhattan,5,Not Defined,Biscotti,Chocolate Chip Biscotti,Bakery,January,1,9,3,Wednesday
1741,1899-12-30 09:21:25,2,2,5,2023,January,4,50,Lower Manhattan,5,Regular,Brewed Black tea,Earl Grey,Tea,January,1,9,3,Wednesday
1742,1899-12-30 09:23:19,1,2,2,2023,January,4,44,Hell's Kitchen,8,Regular,Brewed herbal tea,Peppermint,Tea,January,1,9,3,Wednesday
1743,1899-12-30 09:30:16,2,3,6,2023,January,4,51,Hell's Kitchen,8,Large,Brewed Black tea,Earl Grey,Tea,January,1,9,3,Wednesday
1744,1899-12-30 09:38:54,1,2,2,2023,January,4,25,Hell's Kitchen,8,Small,Organic brewed coffee,Brazilian,Coffee,January,1,9,3,Wednesday
1745,1899-12-30 09:40:25,2,4,8,2023,January,4,36,Lower Manhattan,5,Large,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,9,3,Wednesday
1746,1899-12-30 09:40:45,2,2,5,2023,January,4,52,Lower Manhattan,5,Regular,Brewed Chai tea,Traditional Blend Chai,Tea,January,1,9,3,Wednesday
1747,1899-12-30 09:42:42,2,3,6,2023,January,4,26,Lower Manhattan,5,Regular,Organic brewed coffee,Brazilian,Coffee,January,1,9,3,Wednesday
1748,1899-12-30 09:44:40,1,3,3,2023,January,4,26,Hell's Kitchen,8,Regular,Organic brewed coffee,Brazilian,Coffee,January,1,9,3,Wednesday
1749,1899-12-30 09:50:48,1,2,2,2023,January,4,50,Lower Manhattan,5,Regular,Brewed Black tea,Earl Grey,Tea,January,1,9,3,Wednesday
1750,1899-12-30 09:53:31,2,3,6,2023,January,4,35,Hell's Kitchen,8,Regular,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,9,3,Wednesday
1751,1899-12-30 09:53:44,1,3,3,2023,January,4,32,Hell's Kitchen,8,Regular,Gourmet brewed coffee,Ethiopia,Coffee,January,1,9,3,Wednesday
1752,1899-12-30 09:56:07,2,4,8,2023,January,4,39,Hell's Kitchen,8,Regular,Barista Espresso,Latte,Coffee,January,1,9,3,Wednesday
1753,1899-12-30 09:56:35,2,2,5,2023,January,4,54,Lower Manhattan,5,Regular,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,9,3,Wednesday
1754,1899-12-30 09:56:35,1,3,3,2023,January,4,72,Lower Manhattan,5,Not Defined,Scone,Ginger Scone,Bakery,January,1,9,3,Wednesday
1755,1899-12-30 09:57:39,1,3,3,2023,January,4,43,Lower Manhattan,5,Large,Brewed herbal tea,Lemon Grass,Tea,January,1,9,3,Wednesday
1756,1899-12-30 09:58:10,1,2,2,2023,January,4,31,Hell's Kitchen,8,Small,Gourmet brewed coffee,Ethiopia,Coffee,January,1,9,3,Wednesday
1757,1899-12-30 10:01:39,1,2,2,2023,January,4,48,Hell's Kitchen,8,Regular,Brewed Black tea,English Breakfast,Tea,January,1,10,3,Wednesday
1758,1899-12-30 10:03:45,1,3,3,2023,January,4,47,Lower Manhattan,5,Large,Brewed Green tea,Serenity Green Tea,Tea,January,1,10,3,Wednesday
1759,1899-12-30 10:04:51,2,2,5,2023,January,4,34,Hell's Kitchen,8,Small,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,10,3,Wednesday
1760,1899-12-30 10:05:03,2,3,6,2023,January,4,35,Lower Manhattan,5,Regular,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,10,3,Wednesday
1761,1899-12-30 10:05:03,1,3,3,2023,January,4,69,Lower Manhattan,5,Not Defined,Biscotti,Hazelnut Biscotti,Bakery,January,1,10,3,Wednesday
1762,1899-12-30 10:13:21,2,4,8,2023,January,4,55,Hell's Kitchen,8,Large,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,10,3,Wednesday
1763,1899-12-30 10:13:38,1,4,4,2023,January,4,55,Hell's Kitchen,8,Large,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,10,3,Wednesday
1764,1899-12-30 10:18:40,2,3,6,2023,January,4,51,Lower Manhattan,5,Large,Brewed Black tea,Earl Grey,Tea,January,1,10,3,Wednesday
1765,1899-12-30 10:18:58,1,3,3,2023,January,4,51,Hell's Kitchen,8,Large,Brewed Black tea,Earl Grey,Tea,January,1,10,3,Wednesday
1766,1899-12-30 10:19:21,2,3,6,2023,January,4,87,Hell's Kitchen,8,Not Defined,Barista Espresso,Ouro Brasileiro shot,Coffee,January,1,10,3,Wednesday
1767,1899-12-30 10:22:16,1,3,3,2023,January,4,57,Hell's Kitchen,8,Large,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,10,3,Wednesday
1768,1899-12-30 10:24:25,2,3,6,2023,January,4,24,Lower Manhattan,5,Large,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,10,3,Wednesday
1769,1899-12-30 10:24:38,2,3,5,2023,January,4,56,Lower Manhattan,5,Regular,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,10,3,Wednesday
1770,1899-12-30 10:27:54,2,2,5,2023,January,4,46,Lower Manhattan,5,Regular,Brewed Green tea,Serenity Green Tea,Tea,January,1,10,3,Wednesday
1771,1899-12-30 10:27:54,1,4,4,2023,January,4,71,Lower Manhattan,5,Not Defined,Pastry,Chocolate Croissant,Bakery,January,1,10,3,Wednesday
1772,1899-12-30 10:28:27,2,4,8,2023,January,4,39,Hell's Kitchen,8,Regular,Barista Espresso,Latte,Coffee,January,1,10,3,Wednesday
1773,1899-12-30 10:40:09,2,4,7,2023,January,4,33,Hell's Kitchen,8,Large,Gourmet brewed coffee,Ethiopia,Coffee,January,1,10,3,Wednesday
1774,1899-12-30 10:43:20,1,2,2,2023,January,4,54,Lower Manhattan,5,Regular,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,10,3,Wednesday
1775,1899-12-30 11:01:13,2,2,4,2023,January,4,31,Astoria,3,Small,Gourmet brewed coffee,Ethiopia,Coffee,January,1,11,3,Wednesday
1776,1899-12-30 11:01:26,2,2,4,2023,January,4,28,Hell's Kitchen,8,Small,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,11,3,Wednesday
1777,1899-12-30 11:01:28,1,4,4,2023,January,4,27,Hell's Kitchen,8,Large,Organic brewed coffee,Brazilian,Coffee,January,1,11,3,Wednesday
1778,1899-12-30 11:01:48,1,4,4,2023,January,4,58,Astoria,3,Regular,Hot chocolate,Dark chocolate,Drinking Chocolate,January,1,11,3,Wednesday
1779,1899-12-30 11:01:48,1,4,4,2023,January,4,71,Astoria,3,Not Defined,Pastry,Chocolate Croissant,Bakery,January,1,11,3,Wednesday
1780,1899-12-30 11:06:08,2,4,8,2023,January,4,60,Astoria,3,Regular,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,11,3,Wednesday
1781,1899-12-30 11:11:40,1,4,4,2023,January,4,59,Lower Manhattan,5,Large,Hot chocolate,Dark chocolate,Drinking Chocolate,January,1,11,3,Wednesday
1782,1899-12-30 11:11:46,1,3,3,2023,January,4,24,Lower Manhattan,5,Large,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,11,3,Wednesday
1783,1899-12-30 11:11:58,1,3,3,2023,January,4,30,Lower Manhattan,5,Large,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,11,3,Wednesday
1784,1899-12-30 11:12:15,2,2,5,2023,January,4,50,Hell's Kitchen,8,Regular,Brewed Black tea,Earl Grey,Tea,January,1,11,3,Wednesday
1785,1899-12-30 11:12:51,2,4,8,2023,January,4,39,Astoria,3,Regular,Barista Espresso,Latte,Coffee,January,1,11,3,Wednesday
1786,1899-12-30 11:14:39,2,3,6,2023,January,4,45,Hell's Kitchen,8,Large,Brewed herbal tea,Peppermint,Tea,January,1,11,3,Wednesday
1787,1899-12-30 11:14:39,1,4,4,2023,January,4,74,Hell's Kitchen,8,Not Defined,Biscotti,Ginger Biscotti,Bakery,January,1,11,3,Wednesday
1788,1899-12-30 11:21:23,2,3,6,2023,January,4,24,Hell's Kitchen,8,Large,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,11,3,Wednesday
1789,1899-12-30 11:21:27,2,4,9,2023,January,4,59,Hell's Kitchen,8,Large,Hot chocolate,Dark chocolate,Drinking Chocolate,January,1,11,3,Wednesday
1790,1899-12-30 11:22:35,2,2,5,2023,January,4,44,Hell's Kitchen,8,Regular,Brewed herbal tea,Peppermint,Tea,January,1,11,3,Wednesday
1791,1899-12-30 11:22:36,2,2,5,2023,January,4,29,Hell's Kitchen,8,Regular,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,11,3,Wednesday
1792,1899-12-30 11:24:28,2,2,5,2023,January,4,46,Astoria,3,Regular,Brewed Green tea,Serenity Green Tea,Tea,January,1,11,3,Wednesday
1793,1899-12-30 11:26:14,1,2,2,2023,January,4,44,Astoria,3,Regular,Brewed herbal tea,Peppermint,Tea,January,1,11,3,Wednesday
1794,1899-12-30 11:27:20,1,2,2,2023,January,4,23,Hell's Kitchen,8,Regular,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,11,3,Wednesday
1795,1899-12-30 11:28:10,1,5,5,2023,January,4,61,Hell's Kitchen,8,Large,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,11,3,Wednesday
1796,1899-12-30 11:28:10,1,4,4,2023,January,4,79,Hell's Kitchen,8,Not Defined,Scone,Jumbo Savory Scone,Bakery,January,1,11,3,Wednesday
1797,1899-12-30 11:28:17,1,3,3,2023,January,4,56,Astoria,3,Regular,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,11,3,Wednesday
1798,1899-12-30 11:28:26,2,2,4,2023,January,4,22,Lower Manhattan,5,Small,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,11,3,Wednesday
1799,1899-12-30 11:28:26,1,4,4,2023,January,4,71,Lower Manhattan,5,Not Defined,Pastry,Chocolate Croissant,Bakery,January,1,11,3,Wednesday
1800,1899-12-30 11:29:36,2,4,8,2023,January,4,36,Lower Manhattan,5,Large,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,11,3,Wednesday
1801,1899-12-30 11:31:06,2,2,5,2023,January,4,29,Hell's Kitchen,8,Regular,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,11,3,Wednesday
1802,1899-12-30 11:31:26,1,2,2,2023,January,4,31,Astoria,3,Small,Gourmet brewed coffee,Ethiopia,Coffee,January,1,11,3,Wednesday
1803,1899-12-30 11:33:32,1,3,3,2023,January,4,56,Hell's Kitchen,8,Regular,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,11,3,Wednesday
1804,1899-12-30 11:38:25,2,2,5,2023,January,4,23,Astoria,3,Regular,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,11,3,Wednesday
1805,1899-12-30 11:39:47,1,3,3,2023,January,4,26,Hell's Kitchen,8,Regular,Organic brewed coffee,Brazilian,Coffee,January,1,11,3,Wednesday
1806,1899-12-30 11:40:03,1,3,3,2023,January,4,30,Astoria,3,Large,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,11,3,Wednesday
1807,1899-12-30 11:42:48,1,4,4,2023,January,4,55,Astoria,3,Large,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,11,3,Wednesday
1808,1899-12-30 11:44:07,2,3,6,2023,January,4,24,Astoria,3,Large,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,11,3,Wednesday
1809,1899-12-30 11:46:45,2,4,8,2023,January,4,40,Hell's Kitchen,8,Not Defined,Barista Espresso,Cappuccino,Coffee,January,1,11,3,Wednesday
1810,1899-12-30 11:48:07,2,3,6,2023,January,4,26,Astoria,3,Regular,Organic brewed coffee,Brazilian,Coffee,January,1,11,3,Wednesday
1811,1899-12-30 11:51:42,1,4,4,2023,January,4,38,Hell's Kitchen,8,Not Defined,Barista Espresso,Latte,Coffee,January,1,11,3,Wednesday
1812,1899-12-30 11:52:23,2,2,5,2023,January,4,34,Hell's Kitchen,8,Small,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,11,3,Wednesday
1813,1899-12-30 11:55:06,2,3,6,2023,January,4,47,Lower Manhattan,5,Large,Brewed Green tea,Serenity Green Tea,Tea,January,1,11,3,Wednesday
1814,1899-12-30 11:56:32,2,4,8,2023,January,4,39,Astoria,3,Regular,Barista Espresso,Latte,Coffee,January,1,11,3,Wednesday
1815,1899-12-30 11:57:34,2,3,6,2023,January,4,49,Hell's Kitchen,8,Large,Brewed Black tea,English Breakfast,Tea,January,1,11,3,Wednesday
1816,1899-12-30 11:59:01,2,4,8,2023,January,4,40,Hell's Kitchen,8,Not Defined,Barista Espresso,Cappuccino,Coffee,January,1,11,3,Wednesday
1817,1899-12-30 11:59:01,1,4,4,2023,January,4,74,Hell's Kitchen,8,Not Defined,Biscotti,Ginger Biscotti,Bakery,January,1,11,3,Wednesday
1818,1899-12-30 11:59:26,1,2,2,2023,January,4,29,Lower Manhattan,5,Regular,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,11,3,Wednesday
1819,1899-12-30 12:00:11,1,3,3,2023,January,4,87,Lower Manhattan,5,Not Defined,Barista Espresso,Ouro Brasileiro shot,Coffee,January,1,12,3,Wednesday
